instructions,cycles,ipc,cycles_per_instruction,hit_rate,prefetch_issued,prefetch_requested,prefetch_redundant,prefetch_used,prefetch_accuracy,prefetch_coverage,prefetch_timeliness,prefetch_late,prefetch_dropped,prefetch_useful_hits,prefetch_pollution_misses,prefetch_pollution_rate,demand_only_hits,demand_only_misses,mem_cycles,arith_cycles,wall_seconds,run,seed,workload,config,base_cycles,speedup
2000,13750,0.14545454545454545,6.875,0.875,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1750,250,11750,0,0.002643319108756259,3,3,sequential_read,baseline,13750,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,2000,1750,249,0.996,0.996,1.0,0,0,249,0,0.0,1750,250,2039,0,0.0031648328877054155,3,3,sequential_read,stride,13750,3.4043079970289676
2000,4156,0.48123195380173245,2.078,0.998,247,1999,1752,246,0.9959514170040485,0.984,1.0,0,0,246,0,0.0,1750,250,2156,0,0.11346612256602384,3,3,sequential_read,nn,13750,3.3084696823869106
2000,82000,0.024390243902439025,41.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,2000,80000,0,0.0039715621387586,3,3,strided_read,baseline,82000,1.0
2000,4117,0.48579062424095215,2.0585,0.9985,1998,2000,2,1997,0.9994994994994995,0.9985,1.0,0,0,1997,0,0.0,0,2000,2117,0,0.0039128640200942755,3,3,strided_read,stride,82000,19.91741559387904
2000,9772,0.20466639377814164,4.886,0.926,1852,2000,148,1852,1.0,0.926,1.0,0,0,1852,0,0.0,0,2000,7772,0,0.11579178262036294,3,3,strided_read,nn,82000,8.391322144903807
2000,43984,0.045471080392870136,21.992,0.5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1000,1000,41984,0,0.003561192221241072,3,3,mixed_read_write,baseline,43984,1.0
2000,5062,0.3951007506914263,2.531,0.999,999,2000,1001,998,0.998998998998999,0.998,1.0,0,0,998,0,0.0,1000,1000,3062,0,0.0038991651381365955,3,3,mixed_read_write,stride,43984,8.689055709205848
2000,43867,0.04559235872067841,21.9335,0.5015,3,8,5,3,1.0,0.003,1.0,0,0,3,0,0.0,1000,1000,41867,0,0.11113903179648332,3,3,mixed_read_write,nn,43984,1.0026671529851596
2000,73888,0.027067994802944997,36.944,0.104,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,208,1792,71888,0,0.00394022386171855,3,3,random_read,baseline,73888,1.0
2000,75604,0.026453626792233214,37.802,0.082,1864,2000,136,73,0.039163090128755365,0.040736607142857144,1.0,0,0,73,117,0.0585,208,1792,73604,0,0.005263857019599527,3,3,random_read,stride,73888,0.9773027882122639
2000,73810,0.027096599376778215,36.905,0.105,7,8,1,2,0.2857142857142857,0.0011160714285714285,1.0,0,0,2,0,0.0,208,1792,71810,0,0.11522790667368099,3,3,random_read,nn,73888,1.0010567673756943
2000,43702,0.045764495904077614,21.851,0.491,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,982,1018,41702,0,0.003319112060125917,3,3,phased_switch,baseline,43702,1.0
2000,40036,0.049955040463582776,20.018,0.538,1052,2000,948,154,0.14638783269961977,0.14833005893909626,1.0,0,0,151,57,0.0285,982,1018,38036,0,0.004163933685049415,3,3,phased_switch,stride,43702,1.0915675891697472
2000,39646,0.05044645109216567,19.823,0.543,171,1013,842,107,0.6257309941520468,0.10510805500982318,1.0,0,0,107,3,0.0015,982,1018,37646,0,0.116188704414526,3,3,phased_switch,nn,43702,1.102305402814912
2000,13750,0.14545454545454545,6.875,0.875,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1750,250,11750,0,0.00262581292190589,4,4,sequential_read,baseline,13750,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,2000,1750,249,0.996,0.996,1.0,0,0,249,0,0.0,1750,250,2039,0,0.0031690460455138236,4,4,sequential_read,stride,13750,3.4043079970289676
2000,4117,0.48579062424095215,2.0585,0.9985,248,2000,1752,247,0.9959677419354839,0.988,1.0,0,0,247,0,0.0,1750,250,2117,0,0.11661589366849512,4,4,sequential_read,nn,13750,3.3398105416565462
2000,82000,0.024390243902439025,41.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,2000,80000,0,0.003941385977668688,4,4,strided_read,baseline,82000,1.0
2000,4117,0.48579062424095215,2.0585,0.9985,1998,2000,2,1997,0.9994994994994995,0.9985,1.0,0,0,1997,0,0.0,0,2000,2117,0,0.003922260337276384,4,4,strided_read,stride,82000,19.91741559387904
2000,11020,0.18148820326678766,5.51,0.91,1821,2000,179,1820,0.99945085118067,0.91,1.0,0,0,1820,0,0.0,0,2000,9020,0,0.12150355850462802,4,4,strided_read,nn,82000,7.441016333938294
2000,43984,0.045471080392870136,21.992,0.5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1000,1000,41984,0,0.003530451998813078,4,4,mixed_read_write,baseline,43984,1.0
2000,5062,0.3951007506914263,2.531,0.999,999,2000,1001,998,0.998998998998999,0.998,1.0,0,0,998,0,0.0,1000,1000,3062,0,0.0038690590590704232,4,4,mixed_read_write,stride,43984,8.689055709205848
2000,43867,0.04559235872067841,21.9335,0.5015,3,8,5,3,1.0,0.003,1.0,0,0,3,0,0.0,1000,1000,41867,0,0.10516004211967811,4,4,mixed_read_write,nn,43984,1.0026671529851596
2000,73927,0.02705371515143317,36.9635,0.1035,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,207,1793,71927,0,0.0038285331102088094,4,4,random_read,baseline,73927,1.0
2000,75565,0.026467279825315954,37.7825,0.0825,1862,2000,138,74,0.0397422126745435,0.04127161182375906,1.0,0,0,74,116,0.058,207,1793,73565,0,0.005092444451292977,4,4,random_read,stride,73927,0.9783232978230663
2000,73927,0.02705371515143317,36.9635,0.1035,7,8,1,0,0.0,0.0,0.0,0,0,0,0,0.0,207,1793,71927,0,0.10847389776608907,4,4,random_read,nn,73927,1.0
2000,43702,0.045764495904077614,21.851,0.491,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,982,1018,41702,0,0.00323090553865768,4,4,phased_switch,baseline,43702,1.0
2000,39763,0.050298015743278926,19.8815,0.5415,1057,2000,943,159,0.15042573320719016,0.1512770137524558,1.0,0,0,154,53,0.0265,982,1018,37763,0,0.004138206801144406,4,4,phased_switch,stride,43702,1.0990619420063878
2000,39490,0.05064573309698658,19.745,0.545,175,1015,840,109,0.6228571428571429,0.10707269155206287,1.0,0,0,109,1,0.0005,982,1018,37490,0,0.11262272877502255,4,4,phased_switch,nn,43702,1.1066599139022537
2000,13750,0.14545454545454545,6.875,0.875,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1750,250,11750,0,0.0028414913977030665,5,5,sequential_read,baseline,13750,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,2000,1750,249,0.996,0.996,1.0,0,0,249,0,0.0,1750,250,2039,0,0.0032538238738197833,5,5,sequential_read,stride,13750,3.4043079970289676
2000,4195,0.4767580452920143,2.0975,0.9975,246,1983,1737,245,0.9959349593495935,0.98,1.0,0,0,245,0,0.0,1750,250,2195,0,0.11420533843920566,5,5,sequential_read,nn,13750,3.2777115613825982
2000,82000,0.024390243902439025,41.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,2000,80000,0,0.00384550221497193,5,5,strided_read,baseline,82000,1.0
2000,4117,0.48579062424095215,2.0585,0.9985,1998,2000,2,1997,0.9994994994994995,0.9985,1.0,0,0,1997,0,0.0,0,2000,2117,0,0.0038273364771157503,5,5,strided_read,stride,82000,19.91741559387904
2000,7861,0.25442055718102025,3.9305,0.9505,1902,2000,98,1901,0.9994742376445847,0.9505,1.0,0,0,1901,0,0.0,0,2000,5861,0,0.1123863211250864,5,5,strided_read,nn,82000,10.43124284442183
2000,43984,0.045471080392870136,21.992,0.5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1000,1000,41984,0,0.003528230619849637,5,5,mixed_read_write,baseline,43984,1.0
2000,5062,0.3951007506914263,2.531,0.999,999,2000,1001,998,0.998998998998999,0.998,1.0,0,0,998,0,0.0,1000,1000,3062,0,0.00386182198417373,5,5,mixed_read_write,stride,43984,8.689055709205848
2000,43867,0.04559235872067841,21.9335,0.5015,3,8,5,3,1.0,0.003,1.0,0,0,3,0,0.0,1000,1000,41867,0,0.10329542472027242,5,5,mixed_read_write,nn,43984,1.0026671529851596
2000,73927,0.02705371515143317,36.9635,0.1035,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,207,1793,71927,0,0.0058651659928727895,5,5,random_read,baseline,73927,1.0
2000,75604,0.026453626792233214,37.802,0.082,1865,2000,135,73,0.039142091152815014,0.04071388733965421,1.0,0,0,73,116,0.058,207,1793,73604,0,0.006590911507373676,5,5,random_read,stride,73927,0.9778186339347125
2000,73927,0.02705371515143317,36.9635,0.1035,7,8,1,0,0.0,0.0,0.0,0,0,0,0,0.0,207,1793,71927,0,0.10765477130189538,5,5,random_read,nn,73927,1.0
2000,43585,0.045887346564184923,21.7925,0.4925,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,985,1015,41585,0,0.003198205115040764,5,5,phased_switch,baseline,43585,1.0
2000,39958,0.05005255518294209,19.979,0.539,1053,2000,947,155,0.14719848053181386,0.15172413793103448,1.0,0,0,154,61,0.0305,985,1015,37958,0,0.004126014304347336,5,5,phased_switch,stride,43585,1.0907703088242655
2000,39763,0.050298015743278926,19.8815,0.5415,166,998,832,107,0.6445783132530121,0.10541871921182266,1.0,0,0,107,9,0.0045,985,1015,37763,0,0.11022221532766707,5,5,phased_switch,nn,43585,1.096119508085406
2000,13750,0.14545454545454545,6.875,0.875,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,1750,250,11750,0,0.0025741776335053146,6,6,sequential_read,baseline,13750,1.0
2000,4039,0.49517207229512256,2.0195,0.9995,250,2000,1750,249,0.996,0.996,1.0,0,0,249,0,0.0,1750,250,2039,0,0.0030657626048196107,6,6,sequential_read,stride,13750,3.4043079970289676
2000,4156,0.48123195380173245,2.078,0.998,247,2000,1753,246,0.9959514170040485,0.984,1.0,0,0,246,0,0.0,1750,250,2156,0,0.1109987836680375,6,6,sequential_read,nn,13750,3.3084696823869106
2000,82000,0.024390243902439025,41.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,2000,80000,0,0.0038779112801421434,6,6,strided_read,baseline,82000,1.0
2000,4117,0.48579062424095215,2.0585,0.9985,1998,2000,2,1997,0.9994994994994995,0.9985,1.0,0,0,1997,0,0.0,0,2000,2117,0,0.003819608042249456,6,6,strided_read,stride,82000,19.91741559387904
